stationid,toxbatch,matrix,treatment,concentration,concentrationunits,timepoint,parameter,qualifier,result,resultunits,labrep,lab,sampletypecode,dilution,comments,FID
B18-10188,10/5B18eeaA,Interstitial Water,None,-88,Not Recorded,-3,pH,None,7.9,pH,0,Los Angeles County Sanitation Districts,Grab,-88,Initial pore water sample after homogenization (centrifuged at 15 degrees C).,1
B18-10740,10/5B18eeaA,Interstitial Water,None,-88,Not Recorded,-3,pH,None,8.1,pH,0,Los Angeles County Sanitation Districts,Grab,-88,Initial pore water sample after homogenization (centrifuged at 15 degrees C).,2
B18-10741,10/5B18eeaA,Interstitial Water,None,-88,Not Recorded,-3,pH,None,7.8,pH,0,Los Angeles County Sanitation Districts,Grab,-88,Initial pore water sample after homogenization (centrifuged at 15 degrees C).,3
B18-10778,10/5B18eeaA,Interstitial Water,None,-88,Not Recorded,-3,pH,None,7.6,pH,0,Los Angeles County Sanitation Districts,Grab,-88,Initial pore water sample after homogenization (centrifuged at 15 degrees C).,4
B18-10188,10/5B18eeaA,Interstitial Water,None,-88,Not Recorded,-3,Temperature,None,16.8,C,0,Los Angeles County Sanitation Districts,Grab,-88,Initial pore water sample after homogenization (centrifuged at 15 degrees C).,5
B18-10740,10/5B18eeaA,Interstitial Water,None,-88,Not Recorded,-3,Temperature,None,17.8,C,0,Los Angeles County Sanitation Districts,Grab,-88,Initial pore water sample after homogenization (centrifuged at 15 degrees C).,6
B18-10741,10/5B18eeaA,Interstitial Water,None,-88,Not Recorded,-3,Temperature,None,16.5,C,0,Los Angeles County Sanitation Districts,Grab,-88,Initial pore water sample after homogenization (centrifuged at 15 degrees C).,7
B18-10778,10/5B18eeaA,Interstitial Water,None,-88,Not Recorded,-3,Temperature,None,16.9,C,0,Los Angeles County Sanitation Districts,Grab,-88,Initial pore water sample after homogenization (centrifuged at 15 degrees C).,8
B18-10188,10/5B18eeaA,Interstitial Water,None,-88,Not Recorded,-3,Salinity,None,11,g/L,0,Los Angeles County Sanitation Districts,Grab,-88,Initial pore water sample after homogenization (centrifuged at 15 degrees C).,9
B18-10740,10/5B18eeaA,Interstitial Water,None,-88,Not Recorded,-3,Salinity,None,11,g/L,0,Los Angeles County Sanitation Districts,Grab,-88,Initial pore water sample after homogenization (centrifuged at 15 degrees C).,10
B18-10741,10/5B18eeaA,Interstitial Water,None,-88,Not Recorded,-3,Salinity,None,11,g/L,0,Los Angeles County Sanitation Districts,Grab,-88,Initial pore water sample after homogenization (centrifuged at 15 degrees C).,11
B18-10778,10/5B18eeaA,Interstitial Water,None,-88,Not Recorded,-3,Salinity,None,13,g/L,0,Los Angeles County Sanitation Districts,Grab,-88,Initial pore water sample after homogenization (centrifuged at 15 degrees C).,12
B18-10188,10/5B18eeaA,Interstitial Water,None,-88,Not Recorded,-3,Total Ammonia,None,52.5,mg/L,0,Los Angeles County Sanitation Districts,Grab,-88,Initial pore water sample after homogenization (centrifuged at 15 degrees C).,13
B18-10740,10/5B18eeaA,Interstitial Water,None,-88,Not Recorded,-3,Total Ammonia,None,9.85,mg/L,0,Los Angeles County Sanitation Districts,Grab,-88,Initial pore water sample after homogenization (centrifuged at 15 degrees C).,14
B18-10741,10/5B18eeaA,Interstitial Water,None,-88,Not Recorded,-3,Total Ammonia,None,15.1,mg/L,0,Los Angeles County Sanitation Districts,Grab,-88,Initial pore water sample after homogenization (centrifuged at 15 degrees C).,15
0000,eert180713,Reference Toxicant,None,62,mg/L,4,Salinity,None,31.6,g/L,0,City of San Diego,RFNH3,-88,,16
0000,eert180713,Reference Toxicant,None,125,mg/L,4,Salinity,None,31.8,g/L,0,City of San Diego,RFNH3,-88,,17
0000,eert180713,Reference Toxicant,None,250,mg/L,4,Salinity,None,32.4,g/L,0,City of San Diego,RFNH3,-88,,18
0000,eert180713,Reference Toxicant,None,0,mg/L,0,Temperature,None,15.1,C,0,City of San Diego,RFNH3,-88,,19
0000,eert180713,Reference Toxicant,None,16,mg/L,0,Temperature,None,15.3,C,0,City of San Diego,RFNH3,-88,,20
0000,eert180713,Reference Toxicant,None,31,mg/L,0,Temperature,None,15.1,C,0,City of San Diego,RFNH3,-88,,21
0000,eert180713,Reference Toxicant,None,62,mg/L,0,Temperature,None,15.3,C,0,City of San Diego,RFNH3,-88,,22
0000,eert180713,Reference Toxicant,None,125,mg/L,0,Temperature,None,15.2,C,0,City of San Diego,RFNH3,-88,,23
0000,eert180713,Reference Toxicant,None,250,mg/L,0,Temperature,None,15.2,C,0,City of San Diego,RFNH3,-88,,24
0000,eert180713,Reference Toxicant,None,0,mg/L,2,Temperature,None,15.2,C,0,City of San Diego,RFNH3,-88,,25
0000,eert180713,Reference Toxicant,None,16,mg/L,2,Temperature,None,15.2,C,0,City of San Diego,RFNH3,-88,,26
0000,eert180713,Reference Toxicant,None,31,mg/L,2,Temperature,None,15.2,C,0,City of San Diego,RFNH3,-88,,27
0000,eert180713,Reference Toxicant,None,62,mg/L,2,Temperature,None,15.1,C,0,City of San Diego,RFNH3,-88,,28
0000,eert180713,Reference Toxicant,None,125,mg/L,2,Temperature,None,15.2,C,0,City of San Diego,RFNH3,-88,,29
0000,eert180713,Reference Toxicant,None,250,mg/L,2,Temperature,None,15.2,C,0,City of San Diego,RFNH3,-88,,30
0000,eert180713,Reference Toxicant,None,0,mg/L,4,Temperature,None,15,C,0,City of San Diego,RFNH3,-88,,31
0000,eert180713,Reference Toxicant,None,16,mg/L,4,Temperature,None,15.1,C,0,City of San Diego,RFNH3,-88,,32
0000,eert180713,Reference Toxicant,None,31,mg/L,4,Temperature,None,15.1,C,0,City of San Diego,RFNH3,-88,,33
0000,eert180713,Reference Toxicant,None,62,mg/L,4,Temperature,None,15.1,C,0,City of San Diego,RFNH3,-88,,34
0000,eert180713,Reference Toxicant,None,125,mg/L,4,Temperature,None,15,C,0,City of San Diego,RFNH3,-88,,35
0000,eert180713,Reference Toxicant,None,250,mg/L,4,Temperature,None,15.2,C,0,City of San Diego,RFNH3,-88,,36
0000,eert180713,Reference Toxicant,None,0,mg/L,0,Total Ammonia,<,0.4,mg/L,0,City of San Diego,RFNH3,-88,,37
0000,eert180713,Reference Toxicant,None,16,mg/L,0,Total Ammonia,None,14.3,mg/L,0,City of San Diego,RFNH3,-88,,38
0000,eert180713,Reference Toxicant,None,31,mg/L,0,Total Ammonia,None,27.8,mg/L,0,City of San Diego,RFNH3,-88,,39
0000,eert180713,Reference Toxicant,None,62,mg/L,0,Total Ammonia,None,56.8,mg/L,0,City of San Diego,RFNH3,-88,,40
0000,eert180713,Reference Toxicant,None,125,mg/L,0,Total Ammonia,None,113.2,mg/L,0,City of San Diego,RFNH3,-88,,41
0000,eert180713,Reference Toxicant,None,250,mg/L,0,Total Ammonia,None,229.6,mg/L,0,City of San Diego,RFNH3,-88,,42
0000,eert180713,Reference Toxicant,None,0,mg/L,4,Total Ammonia,<,0.4,mg/L,0,City of San Diego,RFNH3,-88,,43
0000,eert180713,Reference Toxicant,None,16,mg/L,4,Total Ammonia,None,13.3,mg/L,0,City of San Diego,RFNH3,-88,,44
0000,eert180713,Reference Toxicant,None,31,mg/L,4,Total Ammonia,None,27.3,mg/L,0,City of San Diego,RFNH3,-88,,45
0000,eert180713,Reference Toxicant,None,62,mg/L,4,Total Ammonia,None,52.6,mg/L,0,City of San Diego,RFNH3,-88,,46
0000,eert180713,Reference Toxicant,None,125,mg/L,4,Total Ammonia,None,104.8,mg/L,0,City of San Diego,RFNH3,-88,,47
0000,eert180713,Reference Toxicant,None,250,mg/L,4,Total Ammonia,None,212.8,mg/L,0,City of San Diego,RFNH3,-88,,48
0000,eert180713,Reference Toxicant,None,0,mg/L,0,Unionized Ammonia,None,0.017,mg/L,0,City of San Diego,RFNH3,-88,,49
0000,eert180720,Reference Toxicant,None,0,mg/L,2,pH,None,8.14,pH,0,City of San Diego,RFNH3,-88,,50
0000,ECO010,Overlaying Water,None,4,mg/L,0,Temperature,None,15.5,C,0,EcoAnalysts Inc,RFNH3,-88,,51
0000,ECO009,Overlaying Water,None,-88,Not Recorded,0,Dissolved Oxygen,None,7.6,mg/L,0,EcoAnalysts Inc,CNEG,-88,,52
0000,ECO010,Overlaying Water,None,0,mg/L,0,Salinity,None,30,g/L,0,EcoAnalysts Inc,RFNH3,-88,,53
0000,ECO010,Overlaying Water,None,2,mg/L,0,Salinity,None,31,g/L,0,EcoAnalysts Inc,RFNH3,-88,,54
0000,ECO010,Overlaying Water,None,0,mg/L,0,pH,None,7.8,pH,0,EcoAnalysts Inc,RFNH3,-88,,55
0000,ECO010,Overlaying Water,None,2,mg/L,0,pH,None,7.8,pH,0,EcoAnalysts Inc,RFNH3,-88,,56
0000,ECO010,Overlaying Water,None,0,mg/L,0,Total Ammonia,None,0.158,mg/L,0,EcoAnalysts Inc,RFNH3,-88,,57
0000,ECO010,Overlaying Water,None,2,mg/L,0,Total Ammonia,None,2.66,mg/L,0,EcoAnalysts Inc,RFNH3,-88,,58
0000,ECO010,Overlaying Water,None,0,mg/L,0,Unionized Ammonia,None,0.002,mg/L,0,EcoAnalysts Inc,RFNH3,-88,,59
0000,ECO010,Overlaying Water,None,2,mg/L,0,Unionized Ammonia,None,0.039,mg/L,0,EcoAnalysts Inc,RFNH3,-88,,60
0000,ECO010,Overlaying Water,None,4,mg/L,0,Dissolved Oxygen,None,7.9,mg/L,0,EcoAnalysts Inc,RFNH3,-88,,61
0000,ECO010,Overlaying Water,None,6,mg/L,0,Dissolved Oxygen,None,7.9,mg/L,0,EcoAnalysts Inc,RFNH3,-88,,62
0000,ECO010,Overlaying Water,None,6,mg/L,0,Temperature,None,15.5,C,0,EcoAnalysts Inc,RFNH3,-88,,63
0000,ECO010,Overlaying Water,None,8,mg/L,0,Temperature,None,15.5,C,0,EcoAnalysts Inc,RFNH3,-88,,64
0000,ECO010,Overlaying Water,None,10,mg/L,0,Temperature,None,15.2,C,0,EcoAnalysts Inc,RFNH3,-88,,65
0000,ECO010,Overlaying Water,None,4,mg/L,0,Salinity,None,31,g/L,0,EcoAnalysts Inc,RFNH3,-88,,66
0000,ECO010,Overlaying Water,None,6,mg/L,0,Salinity,None,31,g/L,0,EcoAnalysts Inc,RFNH3,-88,,67
0000,ECO010,Overlaying Water,None,4,mg/L,0,pH,None,7.8,pH,0,EcoAnalysts Inc,RFNH3,-88,,68
0000,ECO010,Overlaying Water,None,6,mg/L,0,pH,None,7.8,pH,0,EcoAnalysts Inc,RFNH3,-88,,69
0000,ECO010,Overlaying Water,None,4,mg/L,0,Total Ammonia,None,5.2,mg/L,0,EcoAnalysts Inc,RFNH3,-88,,70
0000,ECO010,Overlaying Water,None,6,mg/L,0,Total Ammonia,None,7.51,mg/L,0,EcoAnalysts Inc,RFNH3,-88,,71
0000,ECO010,Overlaying Water,None,4,mg/L,0,Unionized Ammonia,None,0.075,mg/L,0,EcoAnalysts Inc,RFNH3,-88,,72
0000,ECO010,Overlaying Water,None,6,mg/L,0,Unionized Ammonia,None,0.109,mg/L,0,EcoAnalysts Inc,RFNH3,-88,,73
0000,ECO010,Overlaying Water,None,8,mg/L,0,Dissolved Oxygen,None,8,mg/L,0,EcoAnalysts Inc,RFNH3,-88,,74
0000,ECO010,Overlaying Water,None,10,mg/L,0,Dissolved Oxygen,None,8,mg/L,0,EcoAnalysts Inc,RFNH3,-88,,75
0000,ECO010,Overlaying Water,None,20,mg/L,0,Temperature,None,15.4,C,0,EcoAnalysts Inc,RFNH3,-88,,76
0000,ECO010,Overlaying Water,None,0,mg/L,1,Temperature,None,15.2,C,0,EcoAnalysts Inc,RFNH3,-88,,77
